epoch,global_step,step,tmp_loss,tmp_ppl,mean_loss,mean_ppl,n_token_real,n_token_total,epoch_time
1,2,3,5.558298110961914,265.8744201660156,5.397205591201782,227.58087921142578,20435,20480,0.8973922729492188
1,3,5,5.247074604034424,190.00970458984375,5.281417727470398,201.65494537353516,40915,40960,1.4832093715667725
1,4,7,5.146008491516113,171.74459838867188,5.177024443944295,186.26935831705728,52688,53376,1.9699771404266357
1,5,9,6.11313009262085,1777.4429931640625,5.287277281284332,382.83205223083496,72857,73856,2.5885543823242188
1,6,11,5.8606343269348145,849.0392456054688,5.268718242645264,401.9431037902832,84496,86592,3.0756242275238037
1,7,13,5.919899940490723,467.17535400390625,5.311297496159871,387.9473400115967,104843,107072,3.690430164337158
1,8,15,5.085762977600098,160.91555786132812,5.266566378729684,354.44645091465543,118152,121216,4.197245359420776
1,9,17,5.070854187011719,159.3103485107422,5.240390926599503,329.794575214386,138625,141696,4.764542579650879
1,10,19,5.29569673538208,199.0574493408203,5.231368011898464,313.71634123060437,149365,153024,5.1690239906311035
1,11,21,5.0489420890808105,155.85755920410156,5.212935090065002,297.91980934143066,169823,173504,5.756242036819458
1,12,23,4.82473087310791,134.66677856445312,5.15822883085771,281.65312056107956,175588,180736,6.11874532699585
1,13,25,4.825531959533691,124.65276336669922,5.13258171081543,268.85129833221436,196034,201216,6.707521438598633
1,14,27,4.901845932006836,134.53790283203125,5.118430247673621,259.3518667954665,216391,221696,7.286850214004517
1,15,29,5.404014587402344,427.5232238769531,5.111669710704258,260.4571252550398,226816,232960,7.705981731414795
